brand,model,years,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,horsepower,torque_nm,drive_type,seating_capacity,body_type,weight_kg,safety_rating,country,segment,annual_sales
Tesla,Model S,2024,Premium,134964,67,250,343,992,875,RWD,5,Van,1500,5,US,Luxury,235048
BYD,Atto 3,2024,Standard,64427,71,265,51,711,662,RWD,7,Truck,2756,5,China,Mid-range,204232
Hyundai,Kona Electric,2024,Premium,63140,81,275,97,743,649,RWD,5,Coupe,1750,4,South Korea,Mid-range,132242
Volkswagen,ID.4,2024,Long Range,77030,88,332,119,826,707,AWD,7,Sedan,1634,4,Germany,Premium,238587
BYD,Atto 3,2024,Premium,72337,78,295,61,800,732,AWD,5,Van,1500,3,China,Premium,168778
Kia,Picanto EV,2025,Premium,106848,54,193,133,1000,855,AWD,5,Coupe,1500,4,South Korea,Luxury,85618
Tesla,Cybertruck,2023,Base,70532,71,256,282,507,445,AWD,7,Truck,2290,5,US,Premium,209622
BYD,Yuan Plus,2024,Performance,114840,77,293,185,1000,902,RWD,5,SUV,1978,5,China,Luxury,229532
Volkswagen,ID.5,2024,Long Range,51142,102,359,99,493,434,RWD,5,Coupe,1500,4,Germany,Mid-range,203079
Volkswagen,ID. Aero,2026,Standard,59825,71,263,63,618,540,AWD,5,Sedan,1781,3,Germany,Mid-range,293709
Ford,Mustang Mach-E,2025,Performance,96528,75,286,178,1000,924,FWD,7,Coupe,1500,3,US,Premium,67670
Tesla,Model X,2023,Standard,67773,53,175,321,501,445,FWD,5,Sedan,1539,5,US,Premium,207968
Hyundai,Ioniq 6,2025,Performance,86046,96,314,180,1000,905,RWD,7,Hatchback,1500,5,South Korea,Premium,124864
Kia,EV9,2024,Standard,66877,67,236,97,754,647,RWD,5,SUV,1980,4,South Korea,Premium,117514
Tesla,Model Y,2025,Performance,135781,105,383,345,997,903,AWD,5,Truck,2015,5,US,Luxury,411097
Kia,Niro EV,2024,Performance,105947,79,245,222,1000,919,RWD,7,Coupe,1701,4,South Korea,Luxury,147459
Tesla,Model X,2025,Base,110772,53,177,217,826,728,AWD,5,SUV,1959,4,US,Luxury,179640
Tesla,Cybertruck,2024,Performance,42827,90,311,240,263,241,AWD,5,Truck,2122,4,US,Mid-range,133489
Toyota,bZ Compact SUV,2020,Long Range,70748,94,335,105,818,760,AWD,5,SUV,2056,5,Japan,Premium,2261
Fisker,Ronin,2026,Base,50396,64,243,106,334,275,FWD,7,Sedan,1500,5,US,Mid-range,11950
Ford,E-Transit,2025,Performance,69598,106,361,219,783,728,AWD,5,Sedan,1500,5,US,Premium,24574
BYD,Leaf 50X,2025,Standard,31434,61,229,98,285,269,RWD,5,Hatchback,1643,4,China,Budget,242953
Tesla,Model X,2023,Base,109504,48,155,305,825,733,RWD,5,Van,1500,5,US,Luxury,174834
BMW,i7,2025,Performance,156774,81,266,182,1000,908,AWD,5,Truck,2499,5,Germany,Luxury,58126
Volkswagen,ID.3,2021,Long Range,52967,97,311,135,460,436,RWD,5,Coupe,1853,5,Germany,Mid-range,232633
Tesla,Cybertruck,2024,Standard,121805,59,204,275,850,776,FWD,7,Truck,2502,4,US,Luxury,225373
Hyundai,Ioniq 6,2025,Standard,69769,63,212,79,890,734,FWD,5,Hatchback,1500,4,South Korea,Premium,50147
Tesla,Model X,2024,Long Range,117518,101,350,245,881,810,AWD,5,Truck,2225,5,US,Luxury,122440
Audi,e-tron GT,2025,Standard,53762,52,156,113,207,200,FWD,5,Coupe,1899,4,Germany,Mid-range,69650
BYD,Max,2024,Base,24030,46,153,53,211,200,FWD,5,Sedan,1669,5,China,Budget,157077
BMW,i3,2024,Long Range,120387,79,285,134,1000,988,RWD,5,Truck,2464,4,Germany,Luxury,62864
BYD,Atto 3,2025,Base,26682,54,199,117,274,206,FWD,7,Truck,2367,4,China,Budget,158602
Hyundai,Ioniq,2025,Base,45100,80,257,86,478,396,AWD,5,Hatchback,1705,4,South Korea,Mid-range,128526
Kia,Sportage EV,2023,Standard,77485,81,284,148,923,832,FWD,5,SUV,2017,3,South Korea,Premium,101678
Tesla,Model Y,2023,Standard,98109,47,150,339,760,665,FWD,5,SUV,2146,5,US,Premium,431290
Fisker,Ronin,2020,Performance,143107,75,272,170,1000,935,AWD,5,Hatchback,1705,4,US,Luxury,18708
Ford,F-150 Lightning,2026,Base,52267,73,268,58,514,472,FWD,2,Truck,2850,5,US,Mid-range,62843
NIO,ET6,2025,Performance,60625,82,278,175,476,420,RWD,7,SUV,2138,4,China,Mid-range,8857
Audi,e-tron GT,2025,Base,63332,84,310,93,284,288,RWD,7,Coupe,1565,5,Germany,Mid-range,62327
Kia,Sportage EV,2024,Long Range,95245,77,262,94,1000,842,AWD,5,SUV,2045,4,South Korea,Premium,76023
Rivian,R3,2024,Base,66816,70,247,119,150,200,AWD,5,Sedan,1757,5,US,Premium,27456
Tesla,Model X,2025,Base,73016,82,304,276,528,501,RWD,7,Truck,2036,5,US,Premium,173406
Tesla,Cybertruck,2025,Performance,117416,78,263,216,927,847,AWD,5,Truck,2353,5,US,Luxury,183531
Tesla,Model 3,2025,Standard,71317,74,249,282,502,509,RWD,5,SUV,2053,5,US,Premium,242716
BYD,Leaf 50X,2025,Base,59006,58,200,122,667,633,RWD,5,Van,1500,5,China,Mid-range,127516
Volkswagen,ID. Aero,2024,Long Range,42431,89,306,104,337,286,AWD,5,Coupe,1590,3,Germany,Mid-range,260840
BYD,Dolphin,2024,Performance,30671,88,303,233,345,269,AWD,5,Sedan,1815,5,China,Budget,201621
Mercedes,EQC,2025,Performance,188302,79,277,225,1000,943,RWD,7,Coupe,1500,4,Germany,Luxury,43172
Volkswagen,ID.4,2023,Long Range,94330,105,383,106,1000,868,FWD,7,Sedan,1500,5,Germany,Premium,232451
BYD,Dolphin,2024,Premium,83518,77,267,148,954,884,AWD,5,Coupe,1652,3,China,Premium,148454
Kia,Niro EV,2024,Premium,68437,70,249,131,790,742,AWD,5,Coupe,1556,3,South Korea,Premium,81219
Tesla,Model Y,2025,Performance,43196,112,408,294,338,357,RWD,7,Truck,2547,5,US,Mid-range,437912
Ford,Explorer EV,2024,Long Range,66403,91,334,96,752,677,RWD,5,Van,1894,5,US,Premium,36517
Tesla,Model X,2024,Performance,42932,99,356,209,227,200,RWD,7,Hatchback,1500,5,US,Mid-range,238196
Porsche,Macan Electric,2022,Long Range,101898,76,254,291,335,326,AWD,7,Truck,2679,5,Germany,Luxury,26972
Ford,E-Transit,2025,Premium,45540,55,198,144,379,335,AWD,5,Hatchback,1785,5,US,Mid-range,26865
Tesla,Model S,2024,Premium,66708,46,150,301,486,420,AWD,5,Van,1686,5,US,Premium,187104
Tesla,Model S,2020,Performance,102901,74,231,323,708,567,RWD,5,Truck,2284,3,US,Luxury,184383
Ford,Explorer EV,2024,Long Range,69723,92,331,119,792,705,AWD,7,Truck,2451,5,US,Premium,54063
GM/Chevrolet,Bolt EUV,2025,Performance,102049,117,395,163,1000,893,AWD,5,Van,1834,4,US,Luxury,7957
GM/Chevrolet,Equinox EV,2024,Long Range,78669,103,368,72,1000,916,AWD,5,SUV,2096,5,US,Premium,14020
Ford,Mustang Mach-E,2024,Standard,79438,83,299,129,967,916,RWD,5,Van,1521,5,US,Premium,21827
Tesla,Model 3,2024,Performance,139025,93,320,294,995,917,AWD,5,Coupe,1500,4,US,Luxury,220216
Volkswagen,ID.3,2025,Base,38889,65,231,143,313,257,FWD,5,Sedan,1571,5,Germany,Mid-range,293320
Tesla,Model 3,2025,Performance,169366,117,416,242,1000,931,RWD,7,SUV,1923,5,US,Luxury,248754
Mercedes,GLE EV,2023,Standard,144582,43,150,147,852,767,FWD,7,SUV,1857,4,Germany,Luxury,76491
BMW,iX,2023,Premium,86082,72,247,126,612,541,AWD,7,Truck,2745,4,Germany,Premium,51887
BYD,Max,2026,Performance,101561,102,329,186,1000,906,RWD,5,Truck,2633,3,China,Luxury,216998
Tesla,Cybertruck,2024,Long Range,158926,83,291,311,1000,962,AWD,5,Truck,2567,5,US,Luxury,138950
BYD,Yuan Plus,2023,Standard,21523,42,150,73,207,200,FWD,7,Sedan,1621,4,China,Budget,183596
BYD,Leaf 50X,2024,Premium,100360,50,193,132,1000,888,RWD,5,Van,1876,5,China,Luxury,137465
GM/Chevrolet,Bolt EUV,2026,Base,63697,78,262,101,835,746,FWD,5,Truck,2581,5,US,Mid-range,8032
BMW,i3,2024,Standard,84406,53,173,106,612,505,RWD,5,Truck,2679,3,Germany,Premium,42777
Audi,Q6 e-tron,2024,Standard,73911,42,150,94,431,377,FWD,5,SUV,2121,4,Germany,Premium,36319
Hyundai,Ioniq 5,2025,Performance,57905,81,286,194,704,589,AWD,7,Sedan,1792,4,South Korea,Mid-range,68118
Tesla,Cybertruck,2024,Base,38394,48,189,335,227,200,AWD,7,Truck,2403,3,US,Mid-range,246203
GM/Chevrolet,Bolt EUV,2026,Standard,71136,50,171,136,938,820,FWD,5,Hatchback,1500,5,US,Premium,27175
GM/Chevrolet,Blazer EV,2024,Long Range,76560,83,300,143,1000,882,RWD,5,Van,1598,4,US,Premium,12139
Kia,Niro EV,2023,Premium,92594,74,257,77,1000,874,AWD,5,Coupe,1506,5,South Korea,Premium,83731
Ford,Mustang Mach-E,2023,Long Range,76072,106,363,105,891,791,FWD,5,Hatchback,1734,5,US,Premium,48060
Hyundai,Ioniq,2024,Standard,44655,65,223,143,440,435,RWD,5,SUV,1844,4,South Korea,Mid-range,128091
Hyundai,Ioniq 6,2025,Performance,45838,84,306,182,416,397,RWD,5,Sedan,1557,5,South Korea,Mid-range,96533
Volkswagen,ID.4,2023,Performance,80922,109,399,199,878,828,RWD,5,Hatchback,1500,3,Germany,Premium,234095
Tesla,Model X,2023,Performance,184746,106,348,326,1000,915,RWD,5,Coupe,1782,3,US,Luxury,148529
Tesla,Cybertruck,2024,Performance,177944,93,295,334,1000,868,RWD,5,Truck,2270,3,US,Luxury,234160
Tesla,Cybertruck,2024,Base,59968,70,238,221,393,348,AWD,7,Truck,2448,4,US,Mid-range,228933
BMW,iX,2024,Performance,84126,99,363,225,658,592,RWD,5,Hatchback,1588,5,Germany,Premium,33561
BYD,Qin,2022,Standard,37515,53,194,133,360,323,AWD,5,Truck,2894,4,China,Mid-range,192045
Hyundai,Kona Electric,2022,Long Range,84514,110,400,84,1000,907,RWD,7,Coupe,1784,4,South Korea,Premium,95418
Audi,e-tron,2025,Premium,80343,66,231,56,459,414,RWD,7,Van,1500,5,Germany,Premium,43236
BYD,Leaf 50X,2025,Base,75748,69,279,108,815,722,FWD,5,Sedan,1500,3,China,Premium,114789
Volkswagen,ID.3,2024,Performance,50097,98,341,180,436,358,FWD,5,Van,1780,3,Germany,Mid-range,263009
GM/Chevrolet,Bolt EUV,2024,Premium,43668,79,284,108,453,469,RWD,7,Truck,2572,4,US,Mid-range,1211
BYD,Qin,2025,Long Range,61701,101,351,70,649,584,AWD,7,SUV,1726,5,China,Mid-range,190763
Tesla,Model 3,2025,Premium,152706,77,260,326,1000,857,AWD,5,SUV,1903,4,US,Luxury,172494
BYD,Max,2023,Performance,26461,71,265,250,236,202,RWD,7,SUV,2379,3,China,Budget,226324
Tesla,Model 3,2026,Base,36489,46,150,254,247,226,AWD,5,Van,1500,3,US,Mid-range,214895
Rivian,R3,2021,Base,60979,85,304,62,150,200,FWD,5,Hatchback,1500,5,US,Mid-range,7599
Ford,F-150 Lightning,2025,Base,57536,73,254,70,619,529,FWD,4,Truck,2341,4,US,Mid-range,44164
BMW,i3,2025,Performance,162823,71,255,193,1000,867,AWD,7,Truck,2729,5,Germany,Luxury,48304
Mercedes,EQG,2023,Long Range,163925,84,285,120,1000,946,AWD,5,Coupe,1540,4,Germany,Luxury,50822
Ford,F-150 Lightning,2024,Long Range,54997,101,353,144,523,469,FWD,2,Truck,2427,5,US,Mid-range,49671
Tesla,Model Y,2026,Standard,96645,76,244,238,684,604,RWD,5,Sedan,1500,5,US,Premium,408778
Audi,e-tron,2025,Standard,72972,58,223,130,409,398,FWD,7,SUV,1928,5,Germany,Premium,23427
Kia,Niro EV,2023,Premium,38796,49,150,141,376,343,RWD,7,Coupe,1751,5,South Korea,Mid-range,146563
Ford,Mustang Mach-E,2023,Base,59885,66,231,81,667,623,AWD,5,Truck,2597,4,US,Mid-range,28589
Audi,Q6 e-tron,2024,Long Range,130606,107,385,58,1000,873,RWD,7,SUV,2080,5,Germany,Luxury,39897
BYD,Atto 3,2024,Long Range,47823,77,258,118,535,460,RWD,7,Coupe,1500,5,China,Mid-range,108045
Tesla,Model S,2023,Performance,65005,111,405,260,448,345,RWD,7,Truck,2744,4,US,Premium,208805
BYD,Qin,2024,Standard,21712,83,307,77,190,200,RWD,5,Van,1628,4,China,Budget,169389
Volkswagen,ID. Aero,2024,Long Range,54336,78,286,92,485,454,RWD,7,Sedan,1630,5,Germany,Mid-range,284565
Ford,Explorer EV,2024,Base,53738,62,226,78,555,526,RWD,7,Sedan,1500,3,US,Mid-range,62660
Mercedes,GLE EV,2026,Standard,68995,49,168,130,287,240,FWD,7,Van,1568,5,Germany,Premium,79213
Tesla,Model Y,2024,Base,105607,44,150,201,784,689,FWD,7,Van,1500,4,US,Luxury,422392
Hyundai,i30,2025,Performance,97965,107,392,184,1000,914,RWD,7,Truck,2842,4,South Korea,Premium,98285
Volkswagen,ID. Buzz,2025,Standard,60229,41,150,138,580,569,FWD,7,SUV,2260,5,Germany,Mid-range,215577
BYD,Leaf 50X,2025,Premium,41882,83,280,147,459,427,AWD,7,SUV,2237,4,China,Mid-range,128802
Tesla,Model 3,2024,Long Range,138761,99,376,339,1000,928,FWD,5,Sedan,1500,5,US,Luxury,204411
BYD,Atto 3,2025,Long Range,90654,81,304,53,1000,895,FWD,5,Van,1500,5,China,Premium,227338
NIO,EL8,2022,Base,53544,45,186,122,279,237,AWD,7,SUV,1956,4,China,Mid-range,10495
BYD,Dolphin,2025,Long Range,27390,86,278,137,321,285,AWD,7,Coupe,1616,4,China,Budget,146828
Hyundai,Ioniq 5,2025,Long Range,94029,103,334,105,1000,949,AWD,5,SUV,2407,4,South Korea,Premium,71912
GM/Chevrolet,Bolt EV,2025,Premium,59621,45,150,111,825,763,RWD,7,Coupe,1744,5,US,Mid-range,21979
Volkswagen,ID. Buzz,2025,Performance,78714,86,300,200,812,761,AWD,5,Truck,2608,4,Germany,Premium,216549
Fisker,Ocean,2022,Long Range,59485,82,287,106,389,407,RWD,7,Hatchback,1611,5,US,Mid-range,23860
Toyota,bZ4X,2025,Performance,62346,105,377,208,708,618,AWD,5,Truck,2450,5,Japan,Mid-range,15819
BYD,Dolphin,2023,Performance,33904,92,310,178,356,315,RWD,5,Sedan,1623,4,China,Budget,106140
Hyundai,Kona Electric,2025,Long Range,40498,109,417,74,340,302,AWD,7,SUV,2284,3,South Korea,Mid-range,61921
BYD,Dolphin,2024,Premium,89340,65,223,112,1000,861,AWD,7,Van,1633,5,China,Premium,229760
BYD,Seagull,2023,Long Range,77902,85,288,67,837,747,AWD,5,SUV,1861,5,China,Premium,177211
Tesla,Model S,2025,Standard,67490,67,239,340,480,402,RWD,5,Coupe,1692,4,US,Premium,226745
Kia,Sportage EV,2025,Performance,99993,94,336,154,1000,897,RWD,5,SUV,2114,4,South Korea,Premium,52100
Hyundai,Ioniq,2024,Base,29445,64,222,133,180,200,FWD,7,Hatchback,1684,5,South Korea,Budget,53245
Tesla,Cybertruck,2024,Long Range,57587,108,364,236,428,397,RWD,5,Truck,2629,4,US,Mid-range,136381
BYD,Dolphin,2023,Standard,50127,48,150,56,584,556,FWD,7,Sedan,1618,4,China,Mid-range,176192
Audi,Q6 e-tron,2024,Standard,112838,61,222,122,864,787,FWD,7,Sedan,1591,3,Germany,Luxury,45029
BYD,Max,2023,Premium,29372,77,257,100,322,336,AWD,5,Hatchback,1500,4,China,Budget,240988
Tesla,Model Y,2024,Base,40220,80,308,348,274,232,AWD,5,Coupe,1547,5,US,Mid-range,429025
Hyundai,i30,2025,Base,51160,76,278,129,573,520,AWD,5,Van,1683,5,South Korea,Mid-range,89226
Porsche,Taycan,2024,Premium,142937,54,186,345,677,554,RWD,5,SUV,2128,5,Germany,Luxury,23751
BYD,Qin,2024,Performance,99381,81,289,160,1000,891,AWD,5,Truck,2757,4,China,Premium,152043
BMW,i3,2024,Premium,109123,76,284,69,922,817,AWD,5,Van,1611,5,Germany,Luxury,54152
Ford,F-150 Lightning,2026,Standard,51713,44,150,137,475,390,RWD,4,Truck,2391,4,US,Mid-range,26384
BYD,Seagull,2024,Base,19471,83,291,128,204,201,FWD,5,Truck,2552,3,China,Budget,210937
GM/Chevrolet,Blazer EV,2025,Standard,46970,54,191,62,476,426,AWD,7,SUV,1866,4,US,Mid-range,6914
Volkswagen,ID. Buzz,2025,Long Range,93620,84,289,77,1000,912,RWD,5,Sedan,1697,5,Germany,Premium,222583
BMW,iX,2025,Long Range,124852,85,324,119,1000,865,FWD,7,Sedan,1872,3,Germany,Luxury,51096
BMW,i5,2025,Standard,97047,60,209,80,788,683,AWD,5,Hatchback,1510,5,Germany,Premium,66065
Hyundai,Ioniq,2021,Premium,81529,52,173,132,1000,933,AWD,5,Truck,2400,4,South Korea,Premium,137712
Tesla,Model 3,2023,Premium,123494,79,283,211,888,781,AWD,7,SUV,2083,5,US,Luxury,228731
Mercedes,GLE EV,2024,Premium,194077,41,160,134,1000,932,RWD,5,Hatchback,1581,3,Germany,Luxury,69583
BYD,Qin,2021,Standard,47542,75,274,84,520,490,FWD,5,SUV,2063,3,China,Mid-range,230454
Tesla,Model S,2022,Long Range,133034,84,310,332,932,846,AWD,7,Coupe,1500,5,US,Luxury,213496
Tesla,Model X,2023,Premium,41055,67,234,323,305,223,AWD,5,Truck,2601,5,US,Mid-range,203412
Kia,EV6,2022,Base,59653,68,238,84,588,557,RWD,5,SUV,1917,5,South Korea,Mid-range,145797
BMW,i4,2023,Long Range,76875,97,338,52,528,453,AWD,7,Sedan,1596,5,Germany,Premium,29925
Tesla,Model Y,2024,Standard,31623,78,246,332,161,200,FWD,7,Hatchback,1500,5,US,Budget,457458
Hyundai,Kona Electric,2025,Long Range,43168,98,334,116,444,434,FWD,5,Van,1663,4,South Korea,Mid-range,84174
BYD,Leaf 50X,2024,Base,77144,71,259,61,850,788,FWD,5,Hatchback,1656,4,China,Premium,140199
BMW,i5,2023,Base,58952,72,252,113,253,248,FWD,5,Van,1615,5,Germany,Mid-range,20422
Tesla,Cybertruck,2023,Base,113861,81,306,220,809,719,AWD,7,Truck,2449,5,US,Luxury,162424
GM/Chevrolet,Blazer EV,2022,Base,24572,47,182,129,150,200,AWD,7,Truck,2500,4,US,Budget,9346
Volkswagen,ID.4,2025,Premium,67323,58,187,141,684,618,RWD,5,Van,1500,5,Germany,Premium,295974
NIO,ET6,2025,Long Range,108463,80,263,102,1000,882,FWD,7,SUV,1856,3,China,Luxury,18130
Tesla,Model X,2025,Base,71275,49,150,349,586,509,RWD,7,Van,1837,5,US,Premium,132658
BYD,Leaf 50X,2024,Standard,55111,68,223,88,566,572,RWD,5,Hatchback,1630,4,China,Mid-range,112631
Tesla,Model 3,2025,Standard,132101,48,150,308,997,944,RWD,5,SUV,1751,5,US,Luxury,220080
Rivian,R3,2023,Performance,104609,116,395,220,1000,932,RWD,7,Sedan,1647,5,US,Luxury,4453
Audi,e-tron GT,2026,Performance,126814,115,393,231,1000,899,AWD,5,Sedan,1634,5,Germany,Luxury,35466
BYD,Atto 3,2026,Premium,102365,41,150,100,1000,960,RWD,5,Sedan,1770,4,China,Luxury,112568
BMW,i5,2025,Premium,71336,45,168,71,436,426,RWD,7,Hatchback,1688,4,Germany,Premium,26069
Ford,E-Transit,2026,Performance,52666,84,310,230,496,444,AWD,5,SUV,1927,5,US,Mid-range,76169
Kia,EV9,2024,Premium,65472,78,224,99,716,680,AWD,5,SUV,2132,4,South Korea,Premium,60682
Hyundai,i30,2022,Standard,35583,60,220,138,272,230,FWD,5,Sedan,1500,5,South Korea,Mid-range,116403
BYD,Dolphin,2025,Base,62108,83,291,96,648,600,RWD,5,Truck,2468,4,China,Mid-range,129397
Tesla,Model S,2024,Performance,119857,84,307,348,861,780,AWD,5,Truck,2510,4,US,Luxury,142701
Audi,e-tron GT,2025,Long Range,70111,76,262,143,375,380,FWD,5,Coupe,1548,3,Germany,Premium,79614
Audi,Q6 e-tron,2025,Premium,138511,63,204,125,1000,963,RWD,5,Coupe,1588,4,Germany,Luxury,58972
BMW,iX,2023,Base,90268,63,260,67,713,591,AWD,5,Hatchback,1500,4,Germany,Premium,26056
BYD,Max,2020,Base,67730,44,157,50,692,628,RWD,7,Truck,2386,4,China,Premium,160145
BYD,Yuan Plus,2022,Standard,27939,57,182,130,254,200,AWD,7,SUV,1964,5,China,Budget,100593
GM/Chevrolet,Bolt EUV,2026,Long Range,70455,98,367,126,972,860,RWD,5,Truck,2305,4,US,Premium,1598
Audi,e-tron GT,2025,Base,104531,61,194,96,795,707,RWD,7,SUV,2104,5,Germany,Luxury,52472
Audi,Q6 e-tron,2025,Long Range,97249,91,304,80,720,612,RWD,5,Van,1500,5,Germany,Premium,46587
Ford,Explorer EV,2024,Performance,105603,114,427,182,1000,860,AWD,5,Van,2052,4,US,Luxury,31600
BMW,iX,2025,Standard,55555,42,151,101,203,200,AWD,5,Van,1646,5,Germany,Mid-range,69514
Tesla,Cybertruck,2026,Base,50614,85,304,267,315,263,RWD,7,Truck,2227,5,US,Mid-range,175527
Tesla,Model Y,2025,Base,42292,67,240,308,313,323,RWD,7,Truck,2648,4,US,Mid-range,472726
Audi,Q4 e-tron,2026,Long Range,94110,90,323,138,644,602,FWD,5,Sedan,1508,4,Germany,Premium,38660
Kia,EV9,2025,Standard,77484,46,176,60,950,840,FWD,5,SUV,1989,3,South Korea,Premium,116585
Tesla,Model Y,2022,Long Range,112383,82,270,243,816,719,FWD,5,Coupe,1583,4,US,Luxury,494879
Tesla,Model X,2025,Premium,112066,43,167,297,825,749,FWD,5,Van,1720,4,US,Luxury,245565
BMW,i7,2024,Long Range,93724,100,326,91,725,651,AWD,7,Van,1614,4,Germany,Premium,36760
Tesla,Cybertruck,2021,Base,98646,76,242,327,690,602,RWD,5,Truck,2415,5,US,Premium,235244
Tesla,Cybertruck,2023,Base,46210,70,244,291,310,227,AWD,5,Truck,2463,4,US,Mid-range,187848
Kia,EV6,2021,Long Range,66634,75,272,109,795,688,AWD,7,Coupe,1500,5,South Korea,Premium,57850
GM/Chevrolet,Silverado EV,2026,Performance,65285,116,439,241,776,701,AWD,7,Coupe,1566,4,US,Premium,25704
BMW,i3,2023,Premium,137952,60,220,71,1000,895,RWD,7,Hatchback,1654,4,Germany,Luxury,26110
BYD,Seagull,2024,Standard,32277,54,220,128,314,266,RWD,5,Hatchback,1646,5,China,Budget,236029
GM/Chevrolet,Bolt EV,2024,Standard,61071,76,280,77,808,740,AWD,7,Hatchback,1883,5,US,Mid-range,2434
BYD,Seagull,2025,Base,67470,58,191,57,780,688,AWD,7,Hatchback,1654,4,China,Premium,179136
BYD,Seagull,2025,Long Range,48991,99,357,57,540,454,RWD,5,SUV,2202,4,China,Mid-range,211809
GM/Chevrolet,Bolt EV,2024,Base,56305,52,170,84,652,577,AWD,5,Van,1500,4,US,Mid-range,2728
BMW,i5,2021,Standard,94182,41,160,97,738,659,AWD,7,Coupe,1626,5,Germany,Premium,79673
Mercedes,GLE EV,2025,Long Range,122339,85,270,59,741,661,FWD,7,Hatchback,1843,3,Germany,Luxury,52641
BMW,i3,2023,Standard,67705,63,239,66,410,318,AWD,5,Coupe,1770,5,Germany,Premium,68305
Kia,EV6,2024,Standard,44921,58,198,79,391,344,FWD,5,Truck,2615,5,South Korea,Mid-range,145791
Tesla,Cybertruck,2024,Premium,47891,43,164,276,346,313,FWD,7,Truck,2335,3,US,Mid-range,118665
Volkswagen,ID.5,2022,Premium,62108,82,268,61,637,524,FWD,7,SUV,1760,5,Germany,Mid-range,222675
BYD,Seagull,2025,Long Range,24414,86,281,141,170,200,FWD,5,Sedan,1500,5,China,Budget,228388
BYD,Qin,2023,Standard,36045,75,251,97,336,291,FWD,5,Truck,2600,4,China,Mid-range,117310
Fisker,Ronin,2024,Premium,67457,42,150,55,509,469,AWD,5,Coupe,1631,4,US,Premium,20333
Volkswagen,ID. Buzz,2025,Long Range,52580,95,325,90,508,499,FWD,5,Hatchback,1588,3,Germany,Mid-range,238272
Audi,Q4 e-tron,2025,Base,81941,40,150,138,495,468,RWD,5,Coupe,1693,5,Germany,Premium,77358
BMW,i4,2026,Performance,133852,85,318,197,1000,904,AWD,5,Truck,2197,4,Germany,Luxury,50521
Ford,Mustang Mach-E,2025,Standard,56042,80,293,130,541,501,RWD,5,SUV,2215,3,US,Mid-range,69874
Hyundai,Ioniq 5,2024,Long Range,83570,79,258,52,1000,924,AWD,5,Coupe,1794,5,South Korea,Premium,145959
Kia,Picanto EV,2022,Performance,111175,89,319,178,1000,964,RWD,5,Hatchback,1538,5,South Korea,Luxury,51798
Hyundai,Ioniq 5,2025,Base,61129,46,180,80,706,583,RWD,5,Van,1903,5,South Korea,Mid-range,110095
Tesla,Model Y,2023,Standard,44516,56,227,211,308,239,FWD,5,Sedan,1513,4,US,Mid-range,403294
GM/Chevrolet,Equinox EV,2025,Standard,32070,44,158,63,279,261,AWD,5,SUV,2020,4,US,Budget,1331
BYD,Yuan Plus,2024,Premium,107359,58,205,141,1000,888,FWD,7,Coupe,1661,3,China,Luxury,110469
Tesla,Model Y,2026,Standard,78088,70,245,311,599,573,AWD,7,Sedan,1514,5,US,Premium,489120
BMW,i5,2025,Performance,132667,82,299,208,1000,873,AWD,7,Van,1817,5,Germany,Luxury,71584
Tesla,Model X,2023,Premium,100324,80,300,215,724,607,AWD,5,Coupe,1500,4,US,Luxury,121739
